date,B5_5_PPFD,B5_6_PPFD,B5_7_PPFD,B5_8_PPFD,air_temp,외부_PPFD
2026-05-18 00:00:00,56.8,60.1,59.0,60.9,9.72,0.0
2026-05-18 00:10:00,58.7,60.1,58.1,61.4,10.33,0.0
2026-05-18 00:20:00,57.7,59.8,62.6,56.8,9.46,0.0
2026-05-18 00:30:00,58.1,59.9,61.3,58.4,9.84,0.0
2026-05-18 00:40:00,60.1,59.6,61.2,62.5,9.77,0.0
2026-05-18 00:50:00,55.8,57.1,62.5,60.6,9.98,0.0
2026-05-18 01:00:00,61.2,59.0,65.6,56.2,10.11,0.0
2026-05-18 01:10:00,61.5,61.8,56.6,62.1,9.6,0.0
2026-05-18 01:20:00,59.5,57.3,58.5,58.9,10.29,0.0
2026-05-18 01:30:00,55.0,59.6,58.8,62.8,10.03,0.0
2026-05-18 01:40:00,58.0,58.4,58.3,59.8,9.24,0.0
2026-05-18 01:50:00,62.5,60.2,57.8,60.4,9.22,0.0
2026-05-18 02:00:00,54.4,59.2,59.4,62.4,10.0,0.0
2026-05-18 02:10:00,59.3,63.0,57.6,58.2,9.91,0.0
2026-05-18 02:20:00,57.6,61.0,60.7,58.0,9.96,0.0
2026-05-18 02:30:00,61.6,57.4,60.1,59.6,9.99,0.0
2026-05-18 02:40:00,0.0,1.3,1.0,1.7,10.09,0.0
2026-05-18 02:50:00,0.8,0.0,1.0,0.0,10.38,0.0
2026-05-18 03:00:00,1.1,0.0,1.2,0.0,9.56,0.0
2026-05-18 03:10:00,3.7,0.6,0.0,1.6,9.53,0.0
2026-05-18 03:20:00,0.0,0.0,4.2,0.0,9.56,0.0
2026-05-18 03:30:00,0.8,1.8,0.5,0.0,10.12,0.0
2026-05-18 03:40:00,0.0,0.0,0.0,0.0,10.5,0.0
2026-05-18 03:50:00,2.4,0.0,0.0,0.0,9.83,0.0
2026-05-18 04:00:00,0.0,0.0,0.0,0.0,9.0,0.0
2026-05-18 04:10:00,0.0,0.0,0.0,1.9,9.32,0.0
2026-05-18 04:20:00,0.0,2.2,0.0,0.0,9.67,0.0
2026-05-18 04:30:00,0.0,1.3,0.0,3.3,9.78,0.0
2026-05-18 04:40:00,0.5,3.4,4.0,0.0,9.84,0.0
2026-05-18 04:50:00,1.9,4.5,1.1,0.0,10.02,0.0
2026-05-18 05:00:00,0.6,0.0,1.5,3.1,9.88,0.0
2026-05-18 05:10:00,0.0,0.1,0.0,0.4,10.87,0.0
2026-05-18 05:20:00,0.5,0.0,0.0,0.0,10.63,5.0
2026-05-18 05:30:00,10.4,6.6,7.8,6.7,11.0,57.6
2026-05-18 05:40:00,13.7,14.6,15.4,16.4,11.98,103.8
2026-05-18 05:50:00,25.0,22.6,19.6,24.2,11.62,149.8
2026-05-18 06:00:00,40.9,33.6,33.3,29.0,12.83,201.8
2026-05-18 06:10:00,52.1,46.6,44.4,40.3,13.15,248.9
2026-05-18 06:20:00,66.3,57.1,55.9,51.4,13.48,297.6
2026-05-18 06:30:00,80.9,72.0,64.8,58.5,14.6,331.8
2026-05-18 06:40:00,88.4,77.8,74.2,68.4,14.14,356.6
2026-05-18 06:50:00,104.2,99.2,88.1,80.5,15.62,398.9
2026-05-18 07:00:00,130.7,113.1,107.9,100.3,15.12,464.0
2026-05-18 07:10:00,145.0,132.4,126.2,116.2,15.1,515.2
2026-05-18 07:20:00,161.4,145.7,142.3,126.9,16.03,554.0
2026-05-18 07:30:00,173.8,160.8,148.2,134.9,15.95,565.4
2026-05-18 07:40:00,189.0,173.4,160.9,148.6,16.46,592.7
2026-05-18 07:50:00,215.0,197.2,186.7,167.9,17.28,657.5
2026-05-18 08:00:00,214.2,194.1,187.2,170.4,17.7,636.6
2026-05-18 08:10:00,233.3,208.6,195.8,178.8,17.58,652.6
2026-05-18 08:20:00,236.0,211.9,204.0,182.2,18.56,652.0
2026-05-18 08:30:00,233.3,216.6,203.9,181.8,18.95,632.5
2026-05-18 08:40:00,243.1,221.2,210.1,191.7,19.37,633.3
2026-05-18 08:50:00,261.4,238.2,228.5,204.4,19.31,669.6
2026-05-18 09:00:00,261.3,233.4,223.4,208.2,19.93,654.8
2026-05-18 09:10:00,282.8,254.3,242.2,219.4,18.9,689.0
2026-05-18 09:20:00,259.5,239.9,225.5,205.7,19.79,628.2
2026-05-18 09:30:00,287.2,263.2,246.2,229.0,19.81,673.5
2026-05-18 09:40:00,305.3,276.6,258.0,233.9,20.44,695.9
2026-05-18 09:50:00,323.1,290.0,274.1,248.3,20.38,731.1
2026-05-18 10:00:00,345.9,316.1,298.3,273.9,20.75,774.4
2026-05-18 10:10:00,368.0,337.9,315.8,287.2,21.75,812.4
2026-05-18 10:20:00,347.5,313.6,299.7,272.5,21.1,756.5
2026-05-18 10:30:00,360.0,328.0,308.4,280.9,21.49,773.2
2026-05-18 10:40:00,358.2,327.2,306.5,281.4,21.37,761.2
2026-05-18 10:50:00,387.4,350.2,332.0,299.8,21.62,809.2
2026-05-18 11:00:00,368.2,334.5,320.0,290.5,21.7,773.0
2026-05-18 11:10:00,356.4,322.1,306.2,278.5,21.97,731.6
2026-05-18 11:20:00,336.5,306.2,294.4,261.9,22.33,690.5
2026-05-18 11:30:00,333.6,302.6,286.8,259.1,22.58,677.4
2026-05-18 11:40:00,317.5,289.8,276.0,249.5,22.09,647.2
2026-05-18 11:50:00,334.1,300.8,282.9,256.6,22.23,668.0
2026-05-18 12:00:00,329.4,297.4,278.6,255.0,21.54,656.6
2026-05-18 12:10:00,318.9,289.4,275.8,248.3,21.96,635.2
2026-05-18 12:20:00,325.6,298.4,280.8,256.4,22.34,657.6
2026-05-18 12:30:00,335.5,303.0,285.0,260.7,22.27,667.7
2026-05-18 12:40:00,348.7,316.7,299.1,272.2,21.95,696.1
2026-05-18 12:50:00,342.6,310.9,297.2,269.3,22.15,693.0
2026-05-18 13:00:00,324.0,295.9,276.9,255.0,21.9,650.9
2026-05-18 13:10:00,312.1,283.4,267.2,246.6,22.07,627.6
